year,orders,customers,revenue_sgd,disc_amt,disc_orders,avg_order_value,disc_rate,disc_pct_orders
2019,3,3,108.48181818181818,0.0,0,36.160606060606064,0.0,0.0
2020,2847,1696,456952.09454545454,0.0,0,160.50301880767634,0.0,0.0
2021,6259,3815,847930.0172727273,0.0,0,135.4737206059638,0.0,0.0
2022,3710,2299,747586.813939394,30072.95696969697,563,201.50587976803072,0.04022670866976387,0.1517520215633423
2023,2253,1399,182037.63666666666,32418.838484848486,1337,80.7978857819204,0.17808865835921267,0.5934309809143364
2024,4261,2621,284970.7306060606,127407.73545454546,2950,66.8788384431027,0.44709060184385063,0.6923257451302511
2025,6407,4107,409151.52831594634,222033.17615002484,3181,63.860079337591124,0.5426673512962441,0.496488216013735
2026,1610,1230,184214.48,52251.52,993,114.41893167701863,0.28364502073886916,0.6167701863354037
